166314	51.30	PR	LONDRINA                                         	ADMINISTRACAO                
15294	51.30	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
205101	51.30	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
180621	51.00	PR	LONDRINA                                         	ADMINISTRACAO                
427785	51.00	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
345170	51.00	DF	BRASILIA                                         	ADMINISTRACAO                
388701	50.80	MG	VICOSA                                           	ADMINISTRACAO                
49605	50.80	PR	CURITIBA                                         	ADMINISTRACAO                
71325	50.80	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
164685	50.80	DF	BRASILIA                                         	ADMINISTRACAO                
106676	50.50	AM	MANAUS                                           	ADMINISTRACAO                
335581	53.00	AM	MANAUS                                           	ADMINISTRACAO                
49454	52.30	PI	TERESINA                                         	ADMINISTRACAO                
317012	51.80	MG	VICOSA                                           	ADMINISTRACAO                
64305	51.30	PR	LONDRINA                                         	ADMINISTRACAO                
355732	50.50	PI	TERESINA                                         	ADMINISTRACAO                
130170	50.50	DF	BRASILIA                                         	ADMINISTRACAO                
422254	50.50	PR	LONDRINA                                         	ADMINISTRACAO                
130170	50.50	DF	BRASILIA                                         	ADMINISTRACAO                
7814	50.50	AM	MANAUS                                           	ADMINISTRACAO                
131218	50.50	DF	BRASILIA                                         	ADMINISTRACAO                
55231	50.30	DF	BRASILIA                                         	ADMINISTRACAO                
142408	50.30	PR	CURITIBA                                         	ADMINISTRACAO                
210559	50.30	PI	TERESINA                                         	ADMINISTRACAO                
354669	50.30	PI	TERESINA                                         	ADMINISTRACAO                
210867	50.30	PR	SAO JOSE DOS PINHAIS                             	ADMINISTRACAO                
392432	50.00	PR	LONDRINA                                         	ADMINISTRACAO                
369324	50.00	PR	CURITIBA                                         	ADMINISTRACAO                
354122	50.00	DF	BRASILIA                                         	ADMINISTRACAO                
278537	50.00	DF	BRASILIA                                         	ADMINISTRACAO                
257474	50.00	PR	LONDRINA                                         	ADMINISTRACAO                
26638	50.00	DF	BRASILIA                                         	ADMINISTRACAO                
454483	50.00	MT	CUIABA                                           	ADMINISTRACAO                
446373	49.80	DF	BRASILIA                                         	ADMINISTRACAO                
158000	49.80	PI	PARNAIBA                                         	ADMINISTRACAO                
458248	49.80	PR	LONDRINA                                         	ADMINISTRACAO                
37021	49.50	PR	LONDRINA                                         	ADMINISTRACAO                
324740	49.50	AM	MANAUS                                           	ADMINISTRACAO                
16318	49.50	PI	TERESINA                                         	ADMINISTRACAO                
227988	49.30	PR	LONDRINA                                         	ADMINISTRACAO                
99378	49.30	MG	VICOSA                                           	ADMINISTRACAO                
240348	49.30	PR	LONDRINA                                         	ADMINISTRACAO                
295222	49.30	MT	CUIABA                                           	ADMINISTRACAO                
337653	49.30	DF	BRASILIA                                         	ADMINISTRACAO                
118668	49.00	PR	LONDRINA                                         	ADMINISTRACAO                
339404	49.30	PR	CURITIBA                                         	ADMINISTRACAO                
331437	49.00	MT	PRIMAVERA DO LESTE                               	ADMINISTRACAO                
354669	50.30	PI	TERESINA                                         	ADMINISTRACAO                
142408	50.30	PR	CURITIBA                                         	ADMINISTRACAO                
354122	50.00	DF	BRASILIA                                         	ADMINISTRACAO                
369324	50.00	PR	CURITIBA                                         	ADMINISTRACAO                
300790	49.00	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
